video_id,title,views,likes,comments,duration_seconds,published_at,url,transcript_source,transcript_status,hook_text,platform_labels_text,mentioned_platform_labels_text,secondary_platform_labels_text,format_labels_text,hook_labels_text,taxonomy_confidence_score,word_count,sentence_count,hook_word_count,question_count,exclamation_count,number_count,cta_present,direct_address_present,has_price_or_storage,hook_trigger_present,is_top_reference,top_reference_group_count,top_reference_groups,transcript_text
KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,2026-02-20T07:10:33Z,https://www.youtube.com/watch?v=KLs4QMaLnlk,youtube_transcript_api,cached,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,134,10,7,0,0,4,True,True,True,False,True,8,"platform:other_platform, format:order_packaging, format:retro_nostalgia, hook:customer_story, hook:direct_address, hook:surprise_bonus, platform_format:other_platform__order_packaging, platform_format:other_platform__retro_nostalgia","Wir verpacken zusammen die Bestellung von Felix. Er hat sich einen grauen 3DS bestellt. Kostenlos mit dabei ist natürlich diese 128 GB SDKarte. Als erstes wird der 3DS sorgfältig eingewickelt, damit beim Versand nichts kaputt gehen kann. Als nächstes kommt das Ladegerät zu wie unsere Dankeschönkarten dazu. Und jetzt sind die Extras dran. Felix hat sich zwar nur einen SD-Kartenleser bestellt, aber wir legen ihm noch zusätzlich ein Styless, eine Display Schutzfolie und ein Clearcase mit dazu. Jetzt wird alles sicher verpackt, damit die Konsole auch gut bei Felix ankommt. Falls du neu hier bei 3DS Renew bist, wir haben es uns zur Aufgabe gemacht, nostalgische Spiele und Erinnerungen wieder zum Leben zu erwecken. Ich werde dich nicht fragen uns zu folgen, aber wenn du es tust, danke."
QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,2025-10-19T10:39:59Z,https://www.youtube.com/watch?v=QAz1bAzkJvs,youtube_transcript_api,cached,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,163,13,7,0,0,11,True,True,True,True,True,11,"hook:customer_story, hook:direct_address, platform:playstation_ps3, format:technical_modding, format:opinion_hot_take, format:tutorial_guide, hook:problem_solution, hook:controversy_hook, platform_format:playstation_ps3__technical_modding, platform_format:playstation_ps3__opinion_hot_take, platform_format:playstation_ps3__tutorial_guide","Sony hast diesen Trick bei der PS3. Mit diesem Trick kannst du deiner alten Konsole Fähigkeiten geben, die Sony nie wollte. Geh einfach in den Internetbrowser deiner PS3 und öffne diese Website. Dann spielen wir über ein USB-Stick eine neue Filmware auf. Damit schaltest du etwas richtig krasses frei. Und zwar kann deine PS3 jetzt Programme installieren, die von Fans erstellt wurden. Die wichtigsten sind Multiman und Webman. Damit kannst du PS3, PS2, PS1 und sogar PSP Spiele direkt von einer extern Festplatte starten. Und mit Retro Ark holst du dir richtig viele Retrosysteme direkt auf deine PS3. Somit wird die Konsole zu einem richtigen Gaming Beast. Wenn du deine PS3 selber modden willst, schau dir auf jeden Fall mein Erklärvideo auf YouTube an. oder wie Matthias, hol dir gleich eine fertig gemoddete PS3 Feld mit 2 TB Festplatte direkt bei uns. Matthias, danke für die Bestellung und viel Spaß dir beim zocken."
S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,2026-01-10T10:45:06Z,https://www.youtube.com/watch?v=S_I884gh1rI,youtube_transcript_api,cached,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds",,"product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,94,10,5,1,1,7,True,True,True,True,True,12,"format:order_packaging, hook:customer_story, hook:direct_address, hook:problem_solution, platform:playstation_psp, platform:nintendo_3ds, format:product_highlight, hook:question_hook, platform_format:playstation_psp__product_highlight, platform_format:playstation_psp__order_packaging, platform_format:nintendo_3ds__product_highlight, platform_format:nintendo_3ds__order_packaging","Kannst du meine Bestellung filmen? Klar, Dominik hat sich heute drei Konsolen bei uns bestellt. Einmal diesen New 3DS im schicken Pokémon Design. Perfekte Wahl, denn der 3DS ist einfach optimal für die Pokémon Klassiker. Außerdem hat sich Dominik noch zwei PSPs bestellt. Einmal eine PSP 2000 in Silber und eine PSP 3000 in Gold. Gerade die PSP 3000 ist richtig selten und dazu auch noch sehr hübsch. Beide PSPs kommen mit 128 GB Speichererweiterung. Dominik, sehr coole Bestellung. Ich wünsche dir viel Spaß damit."
6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,2026-01-17T12:13:43Z,https://www.youtube.com/watch?v=6M9dLV049io,youtube_transcript_api,cached,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,143,8,15,1,0,7,True,True,False,True,True,9,"hook:direct_address, format:technical_modding, format:opinion_hot_take, platform:nintendo_3ds, hook:question_hook, format:buying_advice, platform_format:nintendo_3ds__opinion_hot_take, platform_format:nintendo_3ds__buying_advice, platform_format:nintendo_3ds__technical_modding","Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe. Einer der wichtigsten ist die Möglichkeit, die Konsole zu modden. Der 3DS hat wirklich eine der besten Custom Filmwes überhaupt, besser als bei fast allen anderen Retrokonsolen. Du kannst Spiele per QR-Code installieren, Dutzend der Retrosysteme problemlos emulieren und auf extremst kreative Apps aus der Community zugreifen, mit denen du z.B. cheaten, online spielen oder sogar deine Konsole an den PC streamen kannst. Kurz gesagt, der 3DS war schon immer eine starke Konsole und die Moding Community hat sich besonders viel Arbeit gegeben, um wirklich alles aus ihr herauszuholen. Und genau wegen diesen vielen Einsatzmöglichkeiten ist der 3DS bis heute preislich stabil geblieben. Wenn du auch ein 3DS willst, schau bei uns auf der Website bei 3DSRENW.de de vorbei."
3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,2025-02-14T17:06:03Z,https://www.youtube.com/watch?v=3eRzAQYGbSo,youtube_transcript_api,cached,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2",,"comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,107,1,103,1,1,14,True,False,False,True,True,9,"format:technical_modding, platform:playstation_ps2, format:comparison, platform_format:playstation_ps3__comparison, platform_format:playstation_ps3__order_packaging, platform_format:playstation_ps2__comparison, platform_format:playstation_ps2__opinion_hot_take, platform_format:playstation_ps2__technical_modding, platform_format:playstation_ps2__order_packaging",viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games
jrl9UKJElxM,Dieser 3Ds ist nicht gewöhnlich!,112368,1949,13,33,2025-12-06T11:17:49Z,https://www.youtube.com/watch?v=jrl9UKJElxM,youtube_transcript_api,cached,"Dieser 3DS ist alles nur nicht gewöhnlich, denn er besitzt ein USB-C Port, der weit mehr kann, als die Konsole nur aufzuladen.",nintendo_3ds,nintendo_3ds,,"opinion_hot_take, product_highlight, technical_modding","controversy_hook, direct_address",5.5,97,5,23,0,1,5,True,True,False,True,False,0,,"Dieser 3DS ist alles nur nicht gewöhnlich, denn er besitzt ein USB-C Port, der weit mehr kann, als die Konsole nur aufzuladen. In diesem Modell steckt eine vollwertige Capture Card, mit der du den New 3DSXL inklusive Ton direkt an den PC streamen kannst. Flüssig, stabil und mit Top Performance. Genau das wollte David haben, einen schwarzroten New 3DSL mit integrierter Capture Lösung. David, viel Spaß dir mit deiner neuen Konsole und wenn auch du ein 3DS mit Capture Card willst, schau bei uns im Shop vorbei, Link in der Bio."
vcNz3vbxKBI,PsVita modden in 60 Sekunden ohne Computer 👨‍💻😎,83553,1322,39,60,2026-01-11T17:31:46Z,https://www.youtube.com/watch?v=vcNz3vbxKBI,youtube_transcript_api,cached,"Ich habe diese wunderschöne PS Vita gekauft und in diesem 60 Sekunden Video zeige ich dir, wie ich die Konsole Modde und HomePove Programme installiere, komplett ohne Computer.",playstation_ps_vita,"playstation_ps_vita, playstation_psp",playstation_psp,"technical_modding, tutorial_guide","customer_story, direct_address, problem_solution",5.83,165,12,28,0,0,7,True,True,False,True,True,3,"platform:playstation_ps_vita, platform_format:playstation_ps_vita__technical_modding, platform_format:playstation_ps_vita__tutorial_guide","Ich habe diese wunderschöne PS Vita gekauft und in diesem 60 Sekunden Video zeige ich dir, wie ich die Konsole Modde und HomePove Programme installiere, komplett ohne Computer. Als erstes schalten wir die Vita ein und stellen eine Internetverbindung her, um schon mit den Modden starten zu können. Öffne den Browser und gib folgende Webadresse ein. Diploy.psp2.de Sobald die Seite geladen ist, tippst du auf Unlock. Dadurch kommst du in Henlo Bootstrap. Dort installierst du einmal Henkaku und danach Vita Debloy. Jetzt gehst du in die Einstellungen, öffnest Henkaku Einstellungen und setzt ein Haken bei enable Unsave Home. Als nächstes öffnen wir Vita Depploy und installieren die CFW. Wähle Quick 3.65 Install aus und drücke anschließend auf X, sobald du dazu aufgefordert wirst. Und nach ungefähr 5 Minuten ist deine Vita jetzt offiziell gemoddet. und folge mir auf jeden Fall, um Part 2 nicht zu verpassen. Dort zeige ich dir, wie du dir Spiele installierst."
10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,2025-09-13T13:26:18Z,https://www.youtube.com/watch?v=10csCOk0A7o,youtube_transcript_api,cached,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,122,10,10,3,0,9,True,True,False,False,True,7,"format:buying_advice, format:short_story, platform_format:playstation_psp__buying_advice, platform_format:playstation_psp__comparison, platform_format:playstation_psp__technical_modding, platform_format:playstation_psp__retro_nostalgia, platform_format:playstation_psp__short_story","Was ist der Unterschied zwischen PSP 1000, 2000 und 3000? Die PSP 1000 hat Lautsprecher auf der Unterseite. Außerdem ist der Ladeport größer als bei den anderen PSP Modellen und der Spielot öffnet sich mit einem Schalter. Bei der PSP 2000 sind die Lautsprecher oben, der Ladeport ist kleiner und der Spielerslot hat keinen Schalter mehr. Die PSP 3000 ist das jüngste Modell und ist der PSP 2000 sehr ähnlich. Nur die Knöpfe sind jetzt rund und die 3000er hat auf der Hometaste jetzt ein PlayStation Logo. Welches PSP Modell findest du am besten? Katin hat sich jedenfalls für diese PSP 3000 in Pink entschieden. Katrin, danke für die Bestellung und viel Spaß dir damit. Ja."
ZUykKu9y0yo,Hast su schonmal von der Vita TV gehört? 😁,81207,2122,62,46,2025-01-23T18:27:28Z,https://www.youtube.com/watch?v=ZUykKu9y0yo,youtube_transcript_api,cached,fast niemand kennt diese Playstation Konsole dabei ist es so ein cooles Gerät die Rede ist von der Playstation TV die Konsole ist super klein und genau wie eine PS Vita nur eben mit HDMI Ausgang wirklich lohnen tut sich die Konsole eigentlich nur wenigge modet ist denn so können wir eine SD-Karte mit beliebig viel Speicher verbauen und diese mit Spielen vollpacken auf dieser PSV TV habe ich 500 GB voll mit dem besten Vita PSP PS1 und retriel spelen mein persönliches Highlight an der Konsole ist aber die Form da die Konsole wirklich winzig ist kann man sie überall mit hinnehmen Gary sieht das auch so er hat sich diese PSV TV bei uns bestellt Gary danke für das Bestellen und ganz viel Spaß beim zocken,"playstation_ps_vita, playstation_psp","playstation_ps_vita, playstation_psp",,"buying_advice, technical_modding","customer_story, question_hook",4.0,137,1,129,1,0,2,True,False,True,True,True,1,platform_format:playstation_ps_vita__buying_advice,fast niemand kennt diese Playstation Konsole dabei ist es so ein cooles Gerät die Rede ist von der Playstation TV die Konsole ist super klein und genau wie eine PS Vita nur eben mit HDMI Ausgang wirklich lohnen tut sich die Konsole eigentlich nur wenigge modet ist denn so können wir eine SD-Karte mit beliebig viel Speicher verbauen und diese mit Spielen vollpacken auf dieser PSV TV habe ich 500 GB voll mit dem besten Vita PSP PS1 und retriel spelen mein persönliches Highlight an der Konsole ist aber die Form da die Konsole wirklich winzig ist kann man sie überall mit hinnehmen Gary sieht das auch so er hat sich diese PSV TV bei uns bestellt Gary danke für das Bestellen und ganz viel Spaß beim zocken
UNLDqvZ9HZI,Welche Vita findest du besser?  PsVita 1000 oder PsVita 2000 ✅,76470,1871,31,44,2025-09-15T15:10:59Z,https://www.youtube.com/watch?v=UNLDqvZ9HZI,youtube_transcript_api,cached,Welche PS Vita ist besser?,playstation_ps_vita,playstation_ps_vita,,"comparison, buying_advice","question_hook, direct_address",6.8,132,11,5,2,0,12,True,True,False,True,True,1,platform_format:playstation_ps_vita__comparison,"Welche PS Vita ist besser? Das kommt darauf an, was du magst. Die PS Vita 1000 hat einen wunderschönen OLED Screen, während die Vita 2000 ein soliden LCDBildschirm hat. Die Vita 1000 ist außerdem dicker und schwerer als die Vita 2000 und die Vita 1000 hat einen besonderen Ladeport statt dem Micro USB wie bei der Vita 2000. Dafür hat die Vita 1000 Hall Sticks verbaut, während die Vita 2000 anfälliger für Sticktrift ist. Dabei muss man aber sagen, dass sich das trifft echt leicht reparieren lässt. Beide Vitas haben also ihre Vor und Nachteile. Andreas kauft sich jedenfalls diese Vita 1000 und Alexander sich diese Vita 2000. Schöne Konsolen habt ihr euch da ausgesucht. Ich wünsche euch viel Spaß damit. Ah."
Qjf907dq64E,Hast du noch deine PS2 daheim? sie lässt sich super leicht modden!,60020,1165,69,37,2025-08-13T11:44:47Z,https://www.youtube.com/watch?v=Qjf907dq64E,youtube_transcript_api,cached,Erinnerst du dich noch an die PS2?,playstation_ps2,playstation_ps2,,technical_modding,"direct_address, question_hook",8.25,112,10,7,3,1,7,True,True,False,False,False,0,,"Erinnerst du dich noch an die PS2? Mit über 160 Millionen verkauften Einheiten? Ist die die populärste Spielekonsole weltweit. Was die wenigsten wissen ist, wie leicht man die Konsole hacken kann. Wenn ich diese Memory Card einstecke, kann ich alle PS2 Spiele von einer Festplatte zocken. Perfekt, wenn das alte DiscL aufgegeben hat. Zudem starten die Spiele super schnell, da die Datenübertragung von der HD auf die PS2 sehr flüssig ist. Marcel hatte Bock auf die Klassiker und bestellt sich dieses PS2 Modkit mit den besten PS2 Games bei uns. Marcel, ich wünsche dir viel Spaß beim zocken. Mein Arsch."
OMaQ-0E77_I,New 2DS XL besser als 3DS!?,59626,1086,74,25,2025-01-25T16:56:18Z,https://www.youtube.com/watch?v=OMaQ-0E77_I,youtube_transcript_api,cached,so genug gespielt sebastian hat sich nämlich diesen 2ds bei uns bestellt der 2ds hat zwar keine 3D Funktion dafür aber ein leistungsstarken Prozessor und ein super handliches Design in eingeklappter Form fühlt sich der new 2ds genau wie ein Handy an und es somit die perfekte Konsole für die Hosentasche Sebastian sieht das ähnlich er hat sich diesen new 2dsxl bei uns bestellt viel Spaß damit Sebastian,nintendo_3ds,nintendo_3ds,,"comparison, opinion_hot_take","controversy_hook, customer_story, problem_solution",4.5,74,1,68,1,1,7,True,False,False,True,True,1,platform_format:nintendo_3ds__comparison,so genug gespielt sebastian hat sich nämlich diesen 2ds bei uns bestellt der 2ds hat zwar keine 3D Funktion dafür aber ein leistungsstarken Prozessor und ein super handliches Design in eingeklappter Form fühlt sich der new 2ds genau wie ein Handy an und es somit die perfekte Konsole für die Hosentasche Sebastian sieht das ähnlich er hat sich diesen new 2dsxl bei uns bestellt viel Spaß damit Sebastian
Ni73mSS508g,Der Ersatz für den 3Ds EShop | HShop 🥶 #hack #mod #3ds #nintendo #shorts,58733,1588,126,38,2024-01-21T17:35:18Z,https://www.youtube.com/watch?v=Ni73mSS508g,youtube_transcript_api,cached,hallo Nintendo Fans nintendo hat den eShop ein für alle mal abgeschaltet es gibt also keine legale Möglichkeit mehr an die genialen Spiele des 3DS zu kommen zum Glück kannst du dir auf einem gemoddeten 3DS den hashop herunterladen mit dem hashop kannst du jedes 3DS Spiel oder Update direkt auf deine Konsole Laden der perfekte Ersatz für den eShop also wenn du ein 3DS hast solltest du auf jeden Fall modden und wenn du dich jetzt fragst wenn es so einfach ist alle Spieler aus dem hashop zu ziehen warum sollte ich mir eine gemoddete Konsole von euch kaufen berechtigte Frage und es es so im hashop gibt es fast ausschließlich nur dre Spiele wir installieren viele Spiele die es nicht so einfach im Haarshop gibt wenn du z.B alle Pokémon Spiele von Gameboy bis 3D spielen willst musst du ein wenig mehr Zeit investieren,nintendo_3ds,nintendo_3ds,,"technical_modding, buying_advice, tutorial_guide","direct_address, problem_solution, question_hook",6.86,160,1,148,0,0,7,False,True,False,True,True,1,platform_format:nintendo_3ds__tutorial_guide,hallo Nintendo Fans nintendo hat den eShop ein für alle mal abgeschaltet es gibt also keine legale Möglichkeit mehr an die genialen Spiele des 3DS zu kommen zum Glück kannst du dir auf einem gemoddeten 3DS den hashop herunterladen mit dem hashop kannst du jedes 3DS Spiel oder Update direkt auf deine Konsole Laden der perfekte Ersatz für den eShop also wenn du ein 3DS hast solltest du auf jeden Fall modden und wenn du dich jetzt fragst wenn es so einfach ist alle Spieler aus dem hashop zu ziehen warum sollte ich mir eine gemoddete Konsole von euch kaufen berechtigte Frage und es es so im hashop gibt es fast ausschließlich nur dre Spiele wir installieren viele Spiele die es nicht so einfach im Haarshop gibt wenn du z.B alle Pokémon Spiele von Gameboy bis 3D spielen willst musst du ein wenig mehr Zeit investieren
C5WmTBBrhlI,Kennst du die PS Vita? Die Konsole ist perfekt fürs Modding geeignet! Viel Spaß dir damit Jens 👍,58318,1373,27,50,2025-09-27T13:50:39Z,https://www.youtube.com/watch?v=C5WmTBBrhlI,youtube_transcript_api,cached,Diese Playstation ist absolut unterbewertet.,playstation_ps_vita,"playstation_ps_vita, nintendo_3ds, playstation_ps2, playstation_psp","nintendo_3ds, playstation_ps2, playstation_psp","buying_advice, technical_modding, comparison","direct_address, customer_story, problem_solution",4.43,145,14,5,1,1,9,True,True,True,True,False,0,,"Diese Playstation ist absolut unterbewertet. Sony brachte die PS Vita 2012 auf den Markt. Weltweit wurden nur 12 Millionen Einheiten verkauft. Im Vergleich, der 3DS wurde 75 Millionen mal verkauft. Trotz der geringen Verkaufszahlen ist die Vita eine qualitative Handheld. Das größte Potenzial wird durchs Jailbreaken der Vita freigeschaltet. Mit diesem Speichermod erhöhe ich die Kapazität um 500 GB. Dieser Speicher ist brall gefüllt mit PS Vita, PSP und PS1 Spielen. Jegliche Retrospiele kann die Vita natürlich auch emulieren. Das Beste ist aber die hohe Rechtenleistung der Konsole, durch welche auch anspruchsvollere Spiele wie z.B. Cuphead oder PlayStation 2 Games auf der Vita laufen. Jens hatte Bock und bestellt sich diese schicke Vita 2000 in weißschwarz mit 500 GB. Jens, danke dir und viel Spaß damit. Ho."
khNwuPJM3Rw,3DS von Bestellung bis Versand 📦,54717,788,48,47,2025-04-10T12:08:43Z,https://www.youtube.com/watch?v=khNwuPJM3Rw,youtube_transcript_api,cached,"Ich zeige dir, was passiert, wenn jemand bei uns ein 3DS bestellt.",nintendo_3ds,nintendo_3ds,,order_packaging,"customer_story, direct_address",5.0,131,12,12,0,0,5,True,True,False,False,False,0,,"Ich zeige dir, was passiert, wenn jemand bei uns ein 3DS bestellt. Zuerst überprüfen wir den Zustand und ersetzen gegebenenfalls Teile. Danach wird die Konsole gemoddet und bleibt ca. 25 Stunden an der Steckdose, bis alle Spiele installiert sind. Jetzt wird die Konsole noch abgewischt und sauber gemacht, damit sie verpackt werden kann. Der Stift und das Ladekabel sind natürlich inklusive. Beim 3DS gibt auch noch eine Hilfekarte mit Video dazu, indem wir die wichtigsten Funktionen eines gemoddeten 3DS erklären. Zudem haben wir jetzt auch wieder Dragetaschen. Als extra Geschenk gibt es nämlich entweder eine Tasche, ein Anhänger oder eine Pokémonkarte. Nancy und Samy bekommen diesmal eine Tasche zu ihrer Bestellung. Danke euch beiden fürs Bestellen und viel Spaß beim zocken wünsche ich euch. M."
1XmvWQzrR2U,Wusstest du dass man den New3DSXL mit einer Capture card an den PC Streamen kann? 😁,52664,961,24,39,2024-12-16T17:34:59Z,https://www.youtube.com/watch?v=1XmvWQzrR2U,youtube_transcript_api,cached,dieser Nintendo DS ist nicht wie ein gewöhnlicher DS er hat nämlich noch ein usb-c aufladeport mit dem man die Konsole auf dem PC streamen kann das beste ist aber die Software wir haben hier nämlich alle Nintendo Klassiker Verein unter anderem alle Pokémon Spiele von Generation 1 bis 7 plus pokébang und movera bestellt wurde diese Konsole von Katja katja hat sich sogar noch eine R4 Karte und diese wiU bestellt wirklich richtig heftige Bestellung hat ja als Dankeschön gibt es noch einen originalen Gamecube Controller ein Buch für Mario Maker und einen wiU pro Controller dazu Katja danke für die Bestellung und viel Spaß beim zocken,nintendo_3ds,nintendo_3ds,,"opinion_hot_take, order_packaging, retro_nostalgia, technical_modding","customer_story, direct_address",3.86,126,1,111,1,0,4,True,True,False,True,True,1,platform_format:nintendo_3ds__retro_nostalgia,dieser Nintendo DS ist nicht wie ein gewöhnlicher DS er hat nämlich noch ein usb-c aufladeport mit dem man die Konsole auf dem PC streamen kann das beste ist aber die Software wir haben hier nämlich alle Nintendo Klassiker Verein unter anderem alle Pokémon Spiele von Generation 1 bis 7 plus pokébang und movera bestellt wurde diese Konsole von Katja katja hat sich sogar noch eine R4 Karte und diese wiU bestellt wirklich richtig heftige Bestellung hat ja als Dankeschön gibt es noch einen originalen Gamecube Controller ein Buch für Mario Maker und einen wiU pro Controller dazu Katja danke für die Bestellung und viel Spaß beim zocken
8ztuQghPkks,Die Playstation 3 wird vielen für immer in Erinnerung bleiben 🥹,40223,1195,58,30,2024-12-27T15:51:20Z,https://www.youtube.com/watch?v=8ztuQghPkks,youtube_transcript_api,cached,erinnerst du dich noch an die PlayStation 3 wenn du noch eine hast solltest du sie dringend mal wieder rauskraben die Konsole lässt sich nämlich super einfach modten mit einer gemoddeten PS3 können wir einfach alle Playstation Klassiker von einer externen Festplatte auszocken aber das allercoolste sind die emulationsfähigkeiten auf dieser Playstation können wir sogar die alten Nintendo Games spielen Antonio hatte da Bock drauf er hat sich nämlich diese aufgemotzte PS3 bei uns bestellt Antonio danke für die Bestellung und viel Spaß beim Zocken wünschen wir dir,playstation_ps3,playstation_ps3,,"technical_modding, order_packaging, retro_nostalgia","customer_story, direct_address",6.5,98,1,88,0,0,4,True,True,False,True,True,1,platform_format:playstation_ps3__retro_nostalgia,erinnerst du dich noch an die PlayStation 3 wenn du noch eine hast solltest du sie dringend mal wieder rauskraben die Konsole lässt sich nämlich super einfach modten mit einer gemoddeten PS3 können wir einfach alle Playstation Klassiker von einer externen Festplatte auszocken aber das allercoolste sind die emulationsfähigkeiten auf dieser Playstation können wir sogar die alten Nintendo Games spielen Antonio hatte da Bock drauf er hat sich nämlich diese aufgemotzte PS3 bei uns bestellt Antonio danke für die Bestellung und viel Spaß beim Zocken wünschen wir dir
kizXYg3F-4c,hast du noch deine alte Wii daheim? ♥️,39853,911,43,43,2025-07-09T18:05:00Z,https://www.youtube.com/watch?v=kizXYg3F-4c,youtube_transcript_api,cached,Kennst du noch die Wi?,nintendo_wii,nintendo_wii,,technical_modding,"direct_address, question_hook",5.75,113,7,5,2,0,4,True,True,False,False,True,2,"platform:nintendo_wii, platform_format:nintendo_wii__technical_modding","Kennst du noch die Wi? Die Konsole wurde 2006 für 250 € released und war ein echter Verkaufsschlager, denn über 100 Millionen Wionsolen wurden weltweit abgesetzt. Wenn du deine alte Wi immer noch hast, würde ich sie mal wieder rauskramen. Man kann die Konsole nämlich super einfach modden, wodurch wir alle Wi und Gamecube Games auf der Konsole zocken können. Das Beste sind aber die Emulationsfähigkeiten, denn auch Gameboy N64 oder Super Nintendo Games können wir auf einer gemoddeten Wi spielen. Andreas wollte das Modding nicht selber machen und bestellt sich diese Wi ready to play bei uns. Andreas, ich wünsche dir ganz viel Spaß beim zocken."
EX2QLnEBYRA,Dieses Steam deck Upgrade braucht jeder. #emulation #deck,39812,734,59,33,2025-01-07T16:32:51Z,https://www.youtube.com/watch?v=EX2QLnEBYRA,youtube_transcript_api,cached,warum redet niemand über diese Funktion beim Steam Deck viele Nutzer lassen so viel Potenzial auf der Strecke liegen natürlich rede ich über die emulationsfähigkeiten des Decks denn wir können hier nicht nur die typischen billos Systeme emulieren sondern auch Wii GameCube Xbox wiU und Playstation 2 Spiele auf dem Deck zocken persönlich kenne ich keine andere handh Konsole die das kann vanessa hatte keinen Bock alle Emulatoren selber aufzusetzen sie hat sich diese 1 TB SD-Karte bei uns bestellt Vanessa danke fürs bestell und viel Spaß mit diesem Upgrade,"nintendo_wii, playstation_ps2","nintendo_wii, playstation_ps2",,other_format,"customer_story, question_hook",3.0,99,1,91,0,0,2,True,False,True,True,True,3,"format:other_format, platform_format:nintendo_wii__other_format, platform_format:playstation_ps2__other_format",warum redet niemand über diese Funktion beim Steam Deck viele Nutzer lassen so viel Potenzial auf der Strecke liegen natürlich rede ich über die emulationsfähigkeiten des Decks denn wir können hier nicht nur die typischen billos Systeme emulieren sondern auch Wii GameCube Xbox wiU und Playstation 2 Spiele auf dem Deck zocken persönlich kenne ich keine andere handh Konsole die das kann vanessa hatte keinen Bock alle Emulatoren selber aufzusetzen sie hat sich diese 1 TB SD-Karte bei uns bestellt Vanessa danke fürs bestell und viel Spaß mit diesem Upgrade
