group_type,group_label,group_video_count,selected_rank,selected_count,selection_percent,video_id,title,views,likes,comments,duration_seconds,hook_text,platform_labels,mentioned_platform_labels,format_labels,hook_labels,taxonomy_confidence_score,url
format,buying_advice,6,1,2,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
format,buying_advice,6,2,2,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
format,comparison,5,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
format,opinion_hot_take,6,1,2,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
format,opinion_hot_take,6,2,2,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
format,order_packaging,6,1,2,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
format,order_packaging,6,2,2,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
format,other_format,1,1,1,0.2,EX2QLnEBYRA,Dieses Steam deck Upgrade braucht jeder. #emulation #deck,39812,734,59,33,warum redet niemand über diese Funktion beim Steam Deck viele Nutzer lassen so viel Potenzial auf der Strecke liegen natürlich rede ich über die emulationsfähigkeiten des Decks denn wir können hier nicht nur die typischen billos Systeme emulieren sondern auch Wii GameCube Xbox wiU und Playstation 2 Spiele auf dem Deck zocken persönlich kenne ich keine andere handh Konsole die das kann vanessa hatte keinen Bock alle Emulatoren selber aufzusetzen sie hat sich diese 1 TB SD-Karte bei uns bestellt Vanessa danke fürs bestell und viel Spaß mit diesem Upgrade,"nintendo_wii, playstation_ps2","nintendo_wii, playstation_ps2",other_format,"customer_story, question_hook",3.0,https://www.youtube.com/watch?v=EX2QLnEBYRA
format,product_highlight,2,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
format,retro_nostalgia,4,1,1,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
format,short_story,1,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
format,technical_modding,13,1,3,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
format,technical_modding,13,2,3,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
format,technical_modding,13,3,3,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
format,tutorial_guide,3,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
hook,controversy_hook,5,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
hook,customer_story,13,1,3,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
hook,customer_story,13,2,3,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
hook,customer_story,13,3,3,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
hook,direct_address,16,1,4,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
hook,direct_address,16,2,4,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
hook,direct_address,16,3,4,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
hook,direct_address,16,4,4,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
hook,problem_solution,7,1,2,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
hook,problem_solution,7,2,2,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
hook,question_hook,10,1,2,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
hook,question_hook,10,2,2,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
hook,surprise_bonus,1,1,1,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
platform,nintendo_3ds,7,1,2,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
platform,nintendo_3ds,7,2,2,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
platform,nintendo_wii,2,1,1,0.2,kizXYg3F-4c,hast du noch deine alte Wii daheim? ♥️,39853,911,43,43,Kennst du noch die Wi?,nintendo_wii,nintendo_wii,technical_modding,"direct_address, question_hook",5.75,https://www.youtube.com/watch?v=kizXYg3F-4c
platform,other_platform,1,1,1,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
platform,playstation_ps2,3,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform,playstation_ps3,3,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
platform,playstation_ps_vita,4,1,1,0.2,vcNz3vbxKBI,PsVita modden in 60 Sekunden ohne Computer 👨‍💻😎,83553,1322,39,60,"Ich habe diese wunderschöne PS Vita gekauft und in diesem 60 Sekunden Video zeige ich dir, wie ich die Konsole Modde und HomePove Programme installiere, komplett ohne Computer.",playstation_ps_vita,"playstation_ps_vita, playstation_psp","technical_modding, tutorial_guide","customer_story, direct_address, problem_solution",5.83,https://www.youtube.com/watch?v=vcNz3vbxKBI
platform,playstation_psp,3,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
platform_format,nintendo_3ds__buying_advice,2,1,1,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
platform_format,nintendo_3ds__comparison,1,1,1,0.2,OMaQ-0E77_I,New 2DS XL besser als 3DS!?,59626,1086,74,25,so genug gespielt sebastian hat sich nämlich diesen 2ds bei uns bestellt der 2ds hat zwar keine 3D Funktion dafür aber ein leistungsstarken Prozessor und ein super handliches Design in eingeklappter Form fühlt sich der new 2ds genau wie ein Handy an und es somit die perfekte Konsole für die Hosentasche Sebastian sieht das ähnlich er hat sich diesen new 2dsxl bei uns bestellt viel Spaß damit Sebastian,nintendo_3ds,nintendo_3ds,"comparison, opinion_hot_take","controversy_hook, customer_story, problem_solution",4.5,https://www.youtube.com/watch?v=OMaQ-0E77_I
platform_format,nintendo_3ds__opinion_hot_take,4,1,1,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
platform_format,nintendo_3ds__order_packaging,3,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
platform_format,nintendo_3ds__product_highlight,2,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
