group_type,group_label,group_video_count,selected_rank,selected_count,selection_percent,video_id,title,views,likes,comments,duration_seconds,hook_text,platform_labels,mentioned_platform_labels,format_labels,hook_labels,taxonomy_confidence_score,url
platform_format,nintendo_3ds__retro_nostalgia,1,1,1,0.2,1XmvWQzrR2U,Wusstest du dass man den New3DSXL mit einer Capture card an den PC Streamen kann? 😁,52664,961,24,39,dieser Nintendo DS ist nicht wie ein gewöhnlicher DS er hat nämlich noch ein usb-c aufladeport mit dem man die Konsole auf dem PC streamen kann das beste ist aber die Software wir haben hier nämlich alle Nintendo Klassiker Verein unter anderem alle Pokémon Spiele von Generation 1 bis 7 plus pokébang und movera bestellt wurde diese Konsole von Katja katja hat sich sogar noch eine R4 Karte und diese wiU bestellt wirklich richtig heftige Bestellung hat ja als Dankeschön gibt es noch einen originalen Gamecube Controller ein Buch für Mario Maker und einen wiU pro Controller dazu Katja danke für die Bestellung und viel Spaß beim zocken,nintendo_3ds,nintendo_3ds,"opinion_hot_take, order_packaging, retro_nostalgia, technical_modding","customer_story, direct_address",3.86,https://www.youtube.com/watch?v=1XmvWQzrR2U
platform_format,nintendo_3ds__technical_modding,4,1,1,0.2,6M9dLV049io,Warum ist der 3Ds so teuer? 🫰,231293,3171,31,50,"Frederik wollte wissen, warum der 3DS mittlerweile so teuer ist und das hat mehrere Gründe.",nintendo_3ds,nintendo_3ds,"opinion_hot_take, buying_advice, technical_modding","controversy_hook, question_hook, direct_address",5.29,https://www.youtube.com/watch?v=6M9dLV049io
platform_format,nintendo_3ds__tutorial_guide,1,1,1,0.2,Ni73mSS508g,Der Ersatz für den 3Ds EShop | HShop 🥶 #hack #mod #3ds #nintendo #shorts,58733,1588,126,38,hallo Nintendo Fans nintendo hat den eShop ein für alle mal abgeschaltet es gibt also keine legale Möglichkeit mehr an die genialen Spiele des 3DS zu kommen zum Glück kannst du dir auf einem gemoddeten 3DS den hashop herunterladen mit dem hashop kannst du jedes 3DS Spiel oder Update direkt auf deine Konsole Laden der perfekte Ersatz für den eShop also wenn du ein 3DS hast solltest du auf jeden Fall modden und wenn du dich jetzt fragst wenn es so einfach ist alle Spieler aus dem hashop zu ziehen warum sollte ich mir eine gemoddete Konsole von euch kaufen berechtigte Frage und es es so im hashop gibt es fast ausschließlich nur dre Spiele wir installieren viele Spiele die es nicht so einfach im Haarshop gibt wenn du z.B alle Pokémon Spiele von Gameboy bis 3D spielen willst musst du ein wenig mehr Zeit investieren,nintendo_3ds,nintendo_3ds,"technical_modding, buying_advice, tutorial_guide","direct_address, problem_solution, question_hook",6.86,https://www.youtube.com/watch?v=Ni73mSS508g
platform_format,nintendo_wii__other_format,1,1,1,0.2,EX2QLnEBYRA,Dieses Steam deck Upgrade braucht jeder. #emulation #deck,39812,734,59,33,warum redet niemand über diese Funktion beim Steam Deck viele Nutzer lassen so viel Potenzial auf der Strecke liegen natürlich rede ich über die emulationsfähigkeiten des Decks denn wir können hier nicht nur die typischen billos Systeme emulieren sondern auch Wii GameCube Xbox wiU und Playstation 2 Spiele auf dem Deck zocken persönlich kenne ich keine andere handh Konsole die das kann vanessa hatte keinen Bock alle Emulatoren selber aufzusetzen sie hat sich diese 1 TB SD-Karte bei uns bestellt Vanessa danke fürs bestell und viel Spaß mit diesem Upgrade,"nintendo_wii, playstation_ps2","nintendo_wii, playstation_ps2",other_format,"customer_story, question_hook",3.0,https://www.youtube.com/watch?v=EX2QLnEBYRA
platform_format,nintendo_wii__technical_modding,1,1,1,0.2,kizXYg3F-4c,hast du noch deine alte Wii daheim? ♥️,39853,911,43,43,Kennst du noch die Wi?,nintendo_wii,nintendo_wii,technical_modding,"direct_address, question_hook",5.75,https://www.youtube.com/watch?v=kizXYg3F-4c
platform_format,other_platform__order_packaging,1,1,1,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
platform_format,other_platform__retro_nostalgia,1,1,1,0.2,KLs4QMaLnlk,Danke Felix für deine Bestellung ❤️,329136,5339,100,42,Wir verpacken zusammen die Bestellung von Felix.,other_platform,nintendo_3ds,"order_packaging, retro_nostalgia","customer_story, direct_address, surprise_bonus",6.33,https://www.youtube.com/watch?v=KLs4QMaLnlk
platform_format,playstation_ps2__comparison,1,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps2__opinion_hot_take,1,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps2__order_packaging,1,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps2__other_format,1,1,1,0.2,EX2QLnEBYRA,Dieses Steam deck Upgrade braucht jeder. #emulation #deck,39812,734,59,33,warum redet niemand über diese Funktion beim Steam Deck viele Nutzer lassen so viel Potenzial auf der Strecke liegen natürlich rede ich über die emulationsfähigkeiten des Decks denn wir können hier nicht nur die typischen billos Systeme emulieren sondern auch Wii GameCube Xbox wiU und Playstation 2 Spiele auf dem Deck zocken persönlich kenne ich keine andere handh Konsole die das kann vanessa hatte keinen Bock alle Emulatoren selber aufzusetzen sie hat sich diese 1 TB SD-Karte bei uns bestellt Vanessa danke fürs bestell und viel Spaß mit diesem Upgrade,"nintendo_wii, playstation_ps2","nintendo_wii, playstation_ps2",other_format,"customer_story, question_hook",3.0,https://www.youtube.com/watch?v=EX2QLnEBYRA
platform_format,playstation_ps2__technical_modding,2,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps3__comparison,1,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps3__opinion_hot_take,2,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
platform_format,playstation_ps3__order_packaging,2,1,1,0.2,3eRzAQYGbSo,Ps3 besser als Ps5!?,130998,3658,110,42,viele behaupten die PlayStation 3 sei besser als die Playstation 5 aber warum ist das so einmal ist die PS3 abwärtskompatibel mit Playstation 2 und Playstation 1 Games während die PS5 nur mit der PS4 kompatibel ist wenn man also die gesamte PlayStation Bibliothek zocken will braucht man einfach nur zwei Konsolen zudem lässt sich die PS3 relativ einfach modden wodurch wir dann alle PS3 PS2 und PS1 Games auf die Konsole laden können das fand Frederik interessant er hat sich nämlich diese gemoddete Playstation 3 bei uns bestellt Frederik danke für die Bestellung und ganz viel Spaß beim Zocken der älteren games,"playstation_ps3, playstation_ps2","playstation_ps3, playstation_ps2","comparison, opinion_hot_take, technical_modding, order_packaging","customer_story, controversy_hook, direct_address, question_hook",5.7,https://www.youtube.com/watch?v=3eRzAQYGbSo
platform_format,playstation_ps3__retro_nostalgia,1,1,1,0.2,8ztuQghPkks,Die Playstation 3 wird vielen für immer in Erinnerung bleiben 🥹,40223,1195,58,30,erinnerst du dich noch an die PlayStation 3 wenn du noch eine hast solltest du sie dringend mal wieder rauskraben die Konsole lässt sich nämlich super einfach modten mit einer gemoddeten PS3 können wir einfach alle Playstation Klassiker von einer externen Festplatte auszocken aber das allercoolste sind die emulationsfähigkeiten auf dieser Playstation können wir sogar die alten Nintendo Games spielen Antonio hatte da Bock drauf er hat sich nämlich diese aufgemotzte PS3 bei uns bestellt Antonio danke für die Bestellung und viel Spaß beim Zocken wünschen wir dir,playstation_ps3,playstation_ps3,"technical_modding, order_packaging, retro_nostalgia","customer_story, direct_address",6.5,https://www.youtube.com/watch?v=8ztuQghPkks
platform_format,playstation_ps3__technical_modding,3,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
platform_format,playstation_ps3__tutorial_guide,1,1,1,0.2,QAz1bAzkJvs,Dieser Trick bei der PS3 bringt Sony zur weißglut 😤,294341,4477,117,53,Sony hast diesen Trick bei der PS3.,playstation_ps3,"playstation_ps3, playstation_ps2, playstation_psp","technical_modding, opinion_hot_take, tutorial_guide","problem_solution, controversy_hook, direct_address, customer_story",5.38,https://www.youtube.com/watch?v=QAz1bAzkJvs
platform_format,playstation_ps_vita__buying_advice,3,1,1,0.2,ZUykKu9y0yo,Hast su schonmal von der Vita TV gehört? 😁,81207,2122,62,46,fast niemand kennt diese Playstation Konsole dabei ist es so ein cooles Gerät die Rede ist von der Playstation TV die Konsole ist super klein und genau wie eine PS Vita nur eben mit HDMI Ausgang wirklich lohnen tut sich die Konsole eigentlich nur wenigge modet ist denn so können wir eine SD-Karte mit beliebig viel Speicher verbauen und diese mit Spielen vollpacken auf dieser PSV TV habe ich 500 GB voll mit dem besten Vita PSP PS1 und retriel spelen mein persönliches Highlight an der Konsole ist aber die Form da die Konsole wirklich winzig ist kann man sie überall mit hinnehmen Gary sieht das auch so er hat sich diese PSV TV bei uns bestellt Gary danke für das Bestellen und ganz viel Spaß beim zocken,"playstation_ps_vita, playstation_psp","playstation_ps_vita, playstation_psp","buying_advice, technical_modding","customer_story, question_hook",4.0,https://www.youtube.com/watch?v=ZUykKu9y0yo
platform_format,playstation_ps_vita__comparison,2,1,1,0.2,UNLDqvZ9HZI,Welche Vita findest du besser?  PsVita 1000 oder PsVita 2000 ✅,76470,1871,31,44,Welche PS Vita ist besser?,playstation_ps_vita,playstation_ps_vita,"comparison, buying_advice","question_hook, direct_address",6.8,https://www.youtube.com/watch?v=UNLDqvZ9HZI
platform_format,playstation_ps_vita__technical_modding,3,1,1,0.2,vcNz3vbxKBI,PsVita modden in 60 Sekunden ohne Computer 👨‍💻😎,83553,1322,39,60,"Ich habe diese wunderschöne PS Vita gekauft und in diesem 60 Sekunden Video zeige ich dir, wie ich die Konsole Modde und HomePove Programme installiere, komplett ohne Computer.",playstation_ps_vita,"playstation_ps_vita, playstation_psp","technical_modding, tutorial_guide","customer_story, direct_address, problem_solution",5.83,https://www.youtube.com/watch?v=vcNz3vbxKBI
platform_format,playstation_ps_vita__tutorial_guide,1,1,1,0.2,vcNz3vbxKBI,PsVita modden in 60 Sekunden ohne Computer 👨‍💻😎,83553,1322,39,60,"Ich habe diese wunderschöne PS Vita gekauft und in diesem 60 Sekunden Video zeige ich dir, wie ich die Konsole Modde und HomePove Programme installiere, komplett ohne Computer.",playstation_ps_vita,"playstation_ps_vita, playstation_psp","technical_modding, tutorial_guide","customer_story, direct_address, problem_solution",5.83,https://www.youtube.com/watch?v=vcNz3vbxKBI
platform_format,playstation_psp__buying_advice,2,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
platform_format,playstation_psp__comparison,1,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
platform_format,playstation_psp__order_packaging,1,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
platform_format,playstation_psp__product_highlight,1,1,1,0.2,S_I884gh1rI,Viel Spaß mit diesen 3 Konsolen Dominik!,291652,2477,83,36,Kannst du meine Bestellung filmen?,"playstation_psp, nintendo_3ds","playstation_psp, nintendo_3ds","product_highlight, order_packaging","customer_story, direct_address, problem_solution, question_hook",4.25,https://www.youtube.com/watch?v=S_I884gh1rI
platform_format,playstation_psp__retro_nostalgia,1,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
platform_format,playstation_psp__short_story,1,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
platform_format,playstation_psp__technical_modding,2,1,1,0.2,10csCOk0A7o,Welches PSP Modell hattest du früher? 🥰,81534,1542,35,41,"Was ist der Unterschied zwischen PSP 1000, 2000 und 3000?",playstation_psp,playstation_psp,"buying_advice, comparison, technical_modding, retro_nostalgia, short_story","question_hook, direct_address, customer_story, problem_solution",5.4,https://www.youtube.com/watch?v=10csCOk0A7o
